TEXTO;VIOLENCIA;Mención MUJER;Mención HOMBRE;Dirigido MUJER;Dirigido HOMBRE
@laSextaTV @mfyc1968 Y por qu tendra que retractarse? Lubertad de expresin lo llaman los de izquiedas....;0;0;0;0;0
@laSextaTV Por qu se va a retractar?  Sois una herramienta al servicio de vuestro partido y Gobierno, para captar votantes y lavar intereses, no ms. Tal cual. Vuestra misin.  Pero eso ya lo sabemos en toda Espaa desde hace aos, Por qu tanta alarma?;0;0;0;0;0
@laSextaTV Si esa mano la ponis en pronacin con photoshop os quedaba ms realista.;0;0;0;0;0
@laSextaTV OH DIOS pero como puede meterse con LA SECTA.;0;0;0;0;0
@laSextaTV No tiene nada de lo que retractarse , dice la verdad como una valiente que es y punto.;0;0;0;0;0
@laSextaTV Retractarse de la verdad? Venga ya;0;0;0;0;0
@laSextaTV Y porqu motivo se va a retractar????....., si dices verdades pierdes amistades.;0;0;0;0;0
@laSextaTV No fue @lasexta la que hizo un escenario televisivo de recuento para el golpe de estado so pretexto de referendum?. No es eso comerciar con la estabilidad parlamentaria, ergo democrtica?;0;0;0;0;0
@laSextaTV Toda la razn;0;0;0;0;0
@laSextaTV Nadie se debe retractar cuando dice la verdad!;0;0;0;0;0
@laSextaTV Las Verdades ofenden. Estmagos agradecidos, adoctrinados.;0;0;0;0;0
@laSextaTV Atizar a todos por igual, no slo a un lado. que cagar, la cagan todos y ustedes slo hacen el sealamiento a una parcialidad. sabiendo de sobra que donde hay tejas hay ratas.;0;0;0;0;0
@laSextaTV Por eso muchos espaoles/as no os vemos... Ni os volveremos a ver jams.;0;0;0;0;0
@laSextaTV Sabiendo quien es su padrino......;0;0;0;0;0
@laSextaTV A caso dice algo que es mentira?;0;0;0;0;0
@laSextaTV Es que lleva razn, cualquier persona medianamente objetiva es capaz de apreciar eso.;0;0;0;0;0
@laSextaTV Es la pura verdad. Slo faltaba que encima no pudiera decirse.;0;0;0;0;0
@antonioabadg @pluralsingulars @radio4_rne am, no sab��a yo que vivir de mis impuestos te daba derecho a decir lo que son derechos lgtbi y lo que no. a ver si vais asumiendo que no nos represent��is y que os quedan meses de vivir del cuento.;0;0;0;0;0
@laSextaTV Y es que, adems de razn, tiene unos buenos ovarios.;0;0;0;0;0
@laSextaTV Pero si es verdad!;0;0;0;0;0
@laSextaTV Lgico, lo raro es que vosotros no reconozcais que es as;0;0;0;0;0
@laSextaTV S, el ABC.;0;0;0;0;0
@laSextaTV Libertad de expresin, creo que se llama. Que piel tan fina.;0;0;0;0;0
@laSextaTV @Calope01799313 Porque se va a retractar de decir la verdad?;0;0;0;0;0
@laSextaTV Por qu habra de hacerlo si dice la puritita verdad no ms?;0;0;0;0;0
@laSextaTV Por que dice la verdad, comer!;0;0;0;0;0
Por eso Telemadrid no cubri la manifestacin del domingo pasado. El crtel a pleno rendimiento. Un asco!!!  https://t.co/ew5HK07I4g;0;0;0;0;0
