TEXTO;VIOLENCIA;Mención MUJER;Mención HOMBRE;Dirigido MUJER;Dirigido HOMBRE
@laSextaTV @Calope01799313 Porque se va a retractar de decir la verdad?;0;0;0;0;0
@laSextaTV Grande Cayetana. Secta!!;0;1;0;0;0
@laSextaTV Cayetana NOS representa.;0;1;0;0;0
@laSextaTV @cayetanaAT Es su opinin, respetarla rojitos mios , respetarla;0;1;0;0;0
@laSextaTV Ole t  https://t.co/1QTr5oj3TQ;0;0;0;0;0
@laSextaTV Y a lo mejor es que se equivoca...;0;0;0;0;0
@laSextaTV Pero si es verdad!;0;0;0;0;0
@mrinaki creo que el lgtbi es el que est�� cabeza abajo. en plan sat��nico. no se. no se me ocurr��a nada m��s. soy dalt��nico. y un poco tonto tambi��n. . pero sobretodo dalt��nico.;0;0;1;0;0
@laSextaTV @laSextaTV es de extrema izquierda, quin lea ve si no los poco pensantes que se creen cualquier tontera;0;0;0;0;0
@laSextaTV Por qu tiene que retractarse de decir la verdad? Os ha escocido? Pues no seis una panda de periodistas a sueldo de polticos rojos.;0;0;0;0;0
@laSextaTV Totalmente de acuerdo con @cayetanaAT;0;1;0;0;0
@IreneMontero BALEARES. Se juzga por los actos y hechos, no por las palabras.;0;1;0;0;0
@laSextaTV Ustedes crticais a diario, se llama libertad de expresin.;0;0;0;0;0
@laSextaTV @cayetanaAT Lo que ha dicho Cayetana no es mentira.;0;1;0;0;0
@IreneMontero Ministerio dice!...;0;1;0;0;0
@laSextaTV Como os jode que os digan la verdad.;0;0;0;0;0
@laSextaTV Ni falta que le hace tiene  un saco de razn !! Y te voy a decir otra cosita tambin sois los culpables de la alarma por el coronabirus, por tremendistas, os pasasteis 7 pueblos con los chinos . Ahora os moderis??? rdenes del jefe no??;0;0;0;0;0
@laSextaTV Esta seora es una broma de la poltica, ni ms ni menos;0;1;0;0;0
@laSextaTV lvarez de Toledo esta encontra de la Sexta y de las mujeres esto es bueno o malo para su partido?;0;1;0;0;0
@laSextaTV BIEN, POR CAYETANA...BIEEEEN!;0;1;0;0;0
@laSextaTV Pues menos mal que no ha dicho que ferreras a la carcel;0;0;1;0;0
@laSextaTV Atresmierda!;0;0;0;0;0
Por eso Telemadrid no cubri la manifestacin del domingo pasado. El crtel a pleno rendimiento. Un asco!!!  https://t.co/ew5HK07I4g;0;0;0;0;0
@laSextaTV Igual, digo yo que es posible que le ampare la Libertad de Expresin y de Opinin e incluso hasta sea posible que tenga un criterio que hay que aceptar y sobre todo respetar.;0;0;0;0;0
@laSextaTV Es una persona coherente y con principios!!!!!;0;0;0;0;0
@laSextaTV Tiene toda la razn.;0;0;0;0;0
@laSextaTV @04040600t No merecis otra cosa @cayetanaAT dice verdades como puos.;0;1;0;0;0
@laSextaTV no veo porqu tiene que retractarse, dice una verdad como una casa, pero claro, las verdades suelen...;0;0;0;0;0
@MdeHacienda Claramente. Porque en Madrid se vive de puta madre, y es enngran parte, gracias a Ayuso, asi que si, seguir tu consejo.;0;1;0;0;0
@laSextaTV Y est en lo cierto;0;0;0;0;0
@laSextaTV Porque tiene razn. No tiene por qu retractarse: est diciendo la verdad.;0;0;0;0;0
@laSextaTV Con mucha razn, educacin y sin espuma por la boca, no como Ferreras.;0;0;1;0;0
@IreneMontero Blanqueando el botelln y el alcoholismo en adolescentes... As vamos a solucionar muchos problemas, s.;0;1;0;0;0
@liberarka @elmrpitbull1 @facha_hours pues si no eres feminista eres machista y ser machista socialmente no es aceptado como tampoco lo es ser un nazi, un racista o un homofobo. yo tampoco soy lgtbi (soy heteros, y cis) pero lo apoyo. confundis libertad con libertinaje.;0;0;0;0;0
@laSextaTV Pero si sois una banda de extrema izquierda Que cojones se va a retractar? Bastante comedida a estado la mujer con sus palabras.;0;1;0;0;0
@laSextaTV Con su valenta, firmeza y sin complejos debera de haber ms polticas, si a la SeCta , y otros medios de comunicacin les molesta, seal de que lo est haciendo bien.;0;1;0;0;0
@laSextaTV Ese brazo Cayetana!!!!!!!!;0;1;0;0;0
@laSextaTV Y se queda corta;0;0;0;0;0
@laSextaTV . Totalmente de acuerdo, es ms esa Cadena la tengo sin sintonizar.... A mi lavados de cerebro CERO...;0;0;0;0;0
@laSextaTV Es que ella es valiente.;0;1;0;0;0
@GloriaTrevi registr la polmica cancin #Zorra que desde #DePelicula se rumor que la grabara! Ser que finalmente la escucharemos? https://t.co/BcaADshhxp;0;1;0;0;0
@laSextaTV La piel mas fina del universo es de la prensa. Vosotros podis insultar y manipular, ahora a vosotros que ni os nombren;0;0;0;0;0
"@laSextaTV @AntonioTheMax Cuando ""jodemos"" quiere encarcelar a periodistas no afines con el rgimen nonpasa nada. Si esta seora dice lo que le sale de su santo c. Os ponis a berrear como locos y locas. Manda narices";0;0;1;0;0
@laSextaTV @cayetanaAT Estoy contigo @cayetanaAT ol;0;1;0;0;0
@pizarromariajo @mjduzan @mabellaranews @adjicoc @comisionadopaz el pa��s nesecita salir de la guerra y un pueblo unido, no estar con propaganda q son mujeres, hombres o alg��n miembro lgtbi, procuren hacer algo bueno dejen la payasada.;0;1;1;0;0
@laSextaTV Por eso muchos espaoles/as no os vemos... Ni os volveremos a ver jams.;0;0;0;0;0
@laSextaTV Es que tiene toda la razn. Yo antes era la cadena que vea. Ahora es una vergenza. Las entrevistas de Ana Pastor son horribles. Solo pone caritas y es incapaz de improvisar una pregunta a raz de lo que conteste el entrevistado. Y Ferreras e Iaki son captulo aparte.;0;1;1;0;0
@ooCarrillo Si el libro se lo hubiera regalado un sevillano a una murciana, no hubiera habido tanta polmica!! Y que saquen fotos de las redes de l felicitando el da de su comunidad como si fuese algo malo.... #ridiculo #Eurovision;0;1;1;0;0
@laSextaTV Y tiene toda la razon del mundo;0;0;0;0;0
@laSextaTV Qu ley impide hacerlo?;0;0;0;0;0
La #Poltica No es de #Personas es de #Modelos Duque y Vargas son d un Modelo q Aunque Imperfecto Funciona para la #GranMayora Petro y De la Calle son de un Modelo #Obsoleto #Fracasado y Funciona Mal para la #InmensaMayora Vase la Historia y el Presente de #Vzla y #Nicaragua.;0;0;1;0;0
@laSextaTV @cayetanaAT Me parece muy bien @cayetanaAT;0;1;0;0;0
@laSextaTV Pero si es que lleva tooooooooda la razn del mundo!! @laSextaTV es lo que es, un medio al servicio de la izquierda que no para de hacer poltica en todos sus espacios, qu no hace sino dividir a los espaoles en fachas y progres segn su lnea editorial;0;0;0;0;0
@laSextaTV @cayetanaAT Dra en Oxford y parlamentaria brillante en el congreso sin ser de izquierdas= campaa de ataque y acoso contra Cayetana porque te tienen envidia y saben que dices verdades como puos!! Pues yo soy fan de tus ideas y de la manera que las argumentas, #TodosConCayetana;0;1;0;0;0
@laSextaTV Esta mujer ha roto el PP y sigue insistiendo. A este paso su propio partido le va a hacer un cordn sanitario y la va apartar porque no aporta nada bueno. Ni Dolors Montserrat lo hacia peor, al menos nos hacia reir porque no daba ni una.;0;1;0;0;0
@laSextaTV De que se tiene que retractar https://t.co/MQmVglyPKm;0;0;0;0;0
@IreneMontero UFF! Vaya tontera. Si quiere la ministra decir que nada justifica una agresin sexual, que lo diga as.  Por higiene mental, mejor beber con responsabilidad. El alcohol perjudica a la salud, si bebes no conduzcas, si ests borracha busca ayuda.;0;1;0;0;0
@laSextaTV Y no dice ninguna mentira.;0;0;0;0;0
@laSextaTV Si esa mano la ponis en pronacin con photoshop os quedaba ms realista.;0;0;0;0;0
@laSextaTV Cayetana tiene toda la razn;0;1;0;0;0
@IreneMontero EL COMUNISMO Y EL https://t.co/iH2yZJXxwn LA ESCUELA DE LA VIOLENCIA Y LA DOMESTICACION DEL INDIVIDUO ..AS CMO LA DECTRUCION DE TODA CIVILIZACION CRISTIANA...... https://t.co/DaEnsay4Jh;0;1;0;0;0
@laSextaTV @cayetanaAT Pobre Cayetana, la libertad de expresin solo es valida para los medios comunicacin y los socialcomunistas, para el resto de mortales no!!!. Has ido a meterte con los todo poderosos medios de comunicacin el cuarto poder del estado, a ti si te van a echar a Abalos no.;0;1;0;0;0
@laSextaTV A ver, que tenis todo el derecho a ser todo lo manipuladores y sectarios que queris pero si luego os lo recuerdan no hagis pucheritos;0;0;0;0;0
@IreneMontero No ha sido bien elegido porque parece que digan que la mujer debe beber. Para divertirse no hace falta. Est claro que ninguna agresin tiene justificacin ninguna.;0;1;0;0;0
@LovelyMrPitiful A m no dejan de salirme tweets de cuentas de derechas que en la puta vida me han salido ni he interaccionando con ellas, pq un seguidor sigue a ese usuario. A Ayuso la tengo ms que nunca en mi TL.;0;1;0;0;0
@laSextaTV Si solo ha dicho una verdad.;0;0;0;0;0
@mariagonzalezga @cicucho @aytomurcia no entienden el concepto de descentralizar. llevar la navidad a cada pedan��a. son conservadores hasta para esto. que nada cambie. viv��an mejor sin divorcio, sin derechos lgtbi, sin inmigrantes.;0;1;0;0;0
@laSextaTV Que siga propagando odio que hay cosas ms importante como destruir coronavirus y no patrias y las banderas y los egos;0;0;0;0;0
@dlacalle es que hay una guerra de un a��o en ucrania, el covid, y esas cosas que nos hacen salir m��s fuertes, resientes, ecol��gicos y feministas lgtbi++. gracias al doctorado en econom��a del l��der @sanchezcastejon son resultados ��ptimos. que sin ��l ser��an una gran basura, pero con ��l.;0;0;1;0;0
@IreneMontero Uffffff...grrrrrr......argggggg....es que si escribo lo que pienso seguro que....;0;1;0;0;0
@laSextaTV Y porqu motivo se va a retractar????....., si dices verdades pierdes amistades.;0;0;0;0;0
@laSextaTV @cayetanaAT Y por qu se tiene que retractar??? No tiene libertad de expresin???;0;1;0;0;0
@laSextaTV Si el propio ferreras dice que no es imparcial sino de izquierdas....;0;0;1;0;0
@laSextaTV Totalmente de acuerdo con esa Seora.;0;1;0;0;0
@laSextaTV A lo mejor es porque no respetais la libertad de expresin.;0;0;0;0;0
����quienes apoyan al nefasto papa francisco?. todos aquellos que persiguen la desaparici��n de la iglesia cat��lica:. colectivos lgtbi, masones, socialistas, comunistas, anarquistas. con el actual papa la iglesia cat��lica est�� condenada a su desaparici��n.;0;0;1;0;0
